Contract Account,Meterid,CoCd,OPCO
20031479700,103021763,1000,RGE
20030362527,103021764,1000,RGE
20032706762,103021765,1000,RGE
20032789354,103021766,1000,RGE
20032654012,103021767,1000,RGE
20032604330,103021768,1000,RGE
20032582411,103021769,1000,RGE
20023650953,103021770,1000,RGE
20090331297,103021771,1000,RGE
20015424193,103021772,1000,RGE
20015424250,103021773,1000,RGE
20031872201,103021775,1000,RGE
20032874461,103021776,1000,RGE
20031850504,103021782,1000,RGE
20032214635,103021783,1000,RGE
20031430117,103021784,1000,RGE
20032210385,103021785,1000,RGE
20032051326,103021786,1000,RGE
20013932205,103021787,1000,RGE
20032201327,103021788,1000,RGE
20032829531,103021789,1000,RGE
20031635251,103021794,1000,RGE
20010441929,103021795,1000,RGE
20032867622,103021796,1000,RGE
20011531082,103021797,1000,RGE
20032765925,103021798,1000,RGE
20032941955,103021799,1000,RGE
20032009761,103021800,1000,RGE
20032158733,103021801,1000,RGE
20090537307,103021806,1000,RGE
20032852897,103021807,1000,RGE
20090491646,103021809,1000,RGE
20031487810,103021810,1000,RGE
20031993288,103021811,1000,RGE
20031367889,103021812,1000,RGE
20013934904,103021813,1000,RGE
20031384322,103021814,1000,RGE
20015424367,103021815,1000,RGE
20027843687,103021816,1000,RGE
20029553045,103021817,1000,RGE
20017314467,103021826,1000,RGE
20017165828,103021828,1000,RGE
20017165851,103021829,1000,RGE
20027547478,103021830,1000,RGE
20029350129,103021831,1000,RGE
20032197202,103021832,1000,RGE
20031701335,103021833,1000,RGE
20032401224,103021834,1000,RGE
20090336247,103021835,1000,RGE
20027142221,103021836,1000,RGE
20030292120,103021837,1000,RGE
20090398189,103021838,1000,RGE
20032849471,103021840,1000,RGE
20031508169,103021841,1000,RGE
20023368648,103021843,1000,RGE
20032934935,103021844,1000,RGE
20019350592,103021845,1000,RGE
20032577601,103021846,1000,RGE
20090155050,103021847,1000,RGE
20032169516,103021848,1000,RGE
20031927781,103021850,1000,RGE
20032116384,103021851,1000,RGE
20032713578,103021853,1000,RGE
20030710949,103021854,1000,RGE
20028668638,103021856,1000,RGE
20031971573,103021857,1000,RGE
20031980053,103021858,1000,RGE
20031787904,103021859,1000,RGE
20029558713,103021860,1000,RGE
20030175986,103021861,1000,RGE
20032182287,103021862,1000,RGE
20030639635,103021863,1000,RGE
20031914086,103021864,1000,RGE
20014843336,103021865,1000,RGE
20090035708,103021870,1000,RGE
20030318875,103021871,1000,RGE
20090232156,103021872,1000,RGE
20014849648,103021873,1000,RGE
20031183567,103021874,1000,RGE
20029901707,103021875,1000,RGE
20032258327,103021876,1000,RGE
20030345837,103021877,1000,RGE
20090309673,103021878,1000,RGE
20032934851,103021879,1000,RGE
20090245620,103021880,1000,RGE
20031221383,103021881,1000,RGE
20029020193,103021882,1000,RGE
20028629473,103021883,1000,RGE
20026358885,103021884,1000,RGE
20032877126,103021885,1000,RGE
20090098250,103021886,1000,RGE
20032836759,103021887,1000,RGE
20030629578,103021889,1000,RGE
20030272452,103021894,1000,RGE
20031252271,103021895,1000,RGE
20032772160,103021897,1000,RGE
20031614231,103021898,1000,RGE
20031614256,103021899,1000,RGE
20031892258,103021900,1000,RGE
20014849259,103021901,1000,RGE
20029378906,103021902,1000,RGE
20029269840,103021903,1000,RGE
20028234282,103021904,1000,RGE
20032862870,103021905,1000,RGE
20031796160,103021906,1000,RGE
20031483926,103021908,1000,RGE
20031863887,103021909,1000,RGE
20030275257,103021914,1000,RGE
20014040552,103021915,1000,RGE
20090226992,103021916,1000,RGE
20032738831,103021917,1000,RGE
20010255121,103021918,1000,RGE
20030336612,103021919,1000,RGE
20029651807,103021920,1000,RGE
20026488153,103021921,1000,RGE
20031150749,103021922,1000,RGE
20032029595,103021923,1000,RGE
20031979907,103021924,1000,RGE
20090523117,103021924,1000,RGE
20032647628,103021925,1000,RGE
20027798824,103021926,1000,RGE
20027238664,103021927,1000,RGE
20032239624,103021928,1000,RGE
20028327730,103021929,1000,RGE
20031757659,103021930,1000,RGE
20090533694,103021931,1000,RGE
20030139073,103021932,1000,RGE
20090535988,103021932,1000,RGE
20032117630,103021933,1000,RGE
20031516543,103021934,1000,RGE
20032872150,103021935,1000,RGE
20031341918,103021936,1000,RGE
20032793976,103021937,1000,RGE
20015792268,103021984,1000,RGE
20021845357,102223741,1000,RGE
20032301622,102979217,1000,RGE
20014682494,101328095,1000,RGE
20010661708,101332354,1000,RGE
20018988137,101332363,1000,RGE
20029050794,101332371,1000,RGE
20032513069,101332381,1000,RGE
20012539407,101332407,1000,RGE
20032249847,101332422,1000,RGE
20090058999,101332436,1000,RGE
20014707903,101332486,1000,RGE
20023425158,101332496,1000,RGE
20014668436,101332531,1000,RGE
20025890011,101332538,1000,RGE
20090471689,101332590,1000,RGE
20010374831,101332608,1000,RGE
20014669251,101332615,1000,RGE
20030044794,101332634,1000,RGE
20031470709,101332646,1000,RGE
20014681033,101332660,1000,RGE
20017238716,101332668,1000,RGE
20031005935,101332680,1000,RGE
20014733131,101332689,1000,RGE
20014730087,101332890,1000,RGE
20024148148,101332900,1000,RGE
20014730285,101332908,1000,RGE
20026535417,101332917,1000,RGE
20014730863,101332927,1000,RGE
20031385618,101332938,1000,RGE
20021859374,101332946,1000,RGE
20032088641,101332957,1000,RGE
20014731952,101332964,1000,RGE
20014732059,101332974,1000,RGE
20014732158,101332984,1000,RGE
20014732596,101332992,1000,RGE
20025516889,101332998,1000,RGE
20010653929,101333017,1000,RGE
20013963432,101333182,1000,RGE
20014630733,101333199,1000,RGE
20014631632,101333242,1000,RGE
20032704403,101333251,1000,RGE
20027876224,101333254,1000,RGE
20022119497,101333266,1000,RGE
20014633034,101333275,1000,RGE
20031655960,101333297,1000,RGE
20014634362,101333315,1000,RGE
20014683971,101333327,1000,RGE
20020904734,101333630,1000,RGE
20027415775,101333656,1000,RGE
20031258617,101333667,1000,RGE
20011608823,101335794,1000,RGE
20032389932,101336103,1000,RGE
20014731671,101337073,1000,RGE
20014707622,101337805,1000,RGE
20090148444,101345118,1000,RGE
20090205772,101346402,1000,RGE
20014733560,101353754,1000,RGE
20012644637,101354610,1000,RGE
20030883340,101361876,1000,RGE
20032173062,101361915,1000,RGE
20014635492,101368093,1000,RGE
20014636615,101371593,1000,RGE
20014638561,101371678,1000,RGE
20032898759,101387656,1000,RGE
20012345391,101389654,1000,RGE
20028272381,101395613,1000,RGE
20014732273,101401394,1000,RGE
20014706756,101408169,1000,RGE
20020458210,101411667,1000,RGE
20031283656,101424126,1000,RGE
20015415845,101424275,1000,RGE
20015415902,101424284,1000,RGE
20011782867,101424298,1000,RGE
20020399612,101424306,1000,RGE
20015416041,101424312,1000,RGE
20015416066,101424319,1000,RGE
20025813112,101425438,1000,RGE
20028994844,101425489,1000,RGE
