Contract Account,Meterid,CoCd,OPCO
20020276778,103057122,1000,RGE
20090070440,103057123,1000,RGE
20090517358,103057124,1000,RGE
20019238250,103057134,1000,RGE
20029934419,103057135,1000,RGE
20022973265,103057136,1000,RGE
20030329898,103057137,1000,RGE
20032799239,103057138,1000,RGE
20020771745,103057139,1000,RGE
20090325091,103057140,1000,RGE
20013902802,103057141,1000,RGE
20018943454,103057142,1000,RGE
20020466957,103057143,1000,RGE
20022932956,103057144,1000,RGE
20029017371,103057145,1000,RGE
20021247802,103057146,1000,RGE
20019108461,103057147,1000,RGE
20032439273,103057148,1000,RGE
20011631775,103057161,1000,RGE
20015424649,103057162,1000,RGE
20022154460,103057163,1000,RGE
20015424599,103057164,1000,RGE
20032467332,103057165,1000,RGE
20029431648,103057166,1000,RGE
20032290452,103057167,1000,RGE
20032495606,103057168,1000,RGE
20030004921,103057169,1000,RGE
20029914791,103057170,1000,RGE
20032824805,103057171,1000,RGE
20030099426,103057172,1000,RGE
20032860247,103057173,1000,RGE
20028410882,103057174,1000,RGE
20031085978,103057175,1000,RGE
20031030776,103057176,1000,RGE
20027316825,103057177,1000,RGE
20031071267,103057178,1000,RGE
20029573779,103057179,1000,RGE
20032325662,103057180,1000,RGE
20029854179,103057181,1000,RGE
20015424839,103057182,1000,RGE
20015424805,103057183,1000,RGE
20015424870,103057184,1000,RGE
20015424904,103057185,1000,RGE
20017491836,103057186,1000,RGE
20029866561,103057187,1000,RGE
20031955972,103057188,1000,RGE
20029514666,103057189,1000,RGE
20031555061,103057190,1000,RGE
20031980996,103057191,1000,RGE
20029715602,103057192,1000,RGE
20031995663,103057193,1000,RGE
20030400525,103057194,1000,RGE
20031272659,103057195,1000,RGE
20031933565,103057196,1000,RGE
20031284795,103057197,1000,RGE
20028505103,103057198,1000,RGE
20032871285,103057199,1000,RGE
20026489441,103057200,1000,RGE
20024478628,103057202,1000,RGE
20027395779,103057203,1000,RGE
20025882471,103057204,1000,RGE
20030573867,103057205,1000,RGE
20027608973,103057206,1000,RGE
20029395165,103057207,1000,RGE
20014322661,103057208,1000,RGE
20025430933,103057209,1000,RGE
20011499660,103057210,1000,RGE
20015424763,103057211,1000,RGE
20027318847,103057212,1000,RGE
20015424474,103057213,1000,RGE
20010086682,103057214,1000,RGE
20022360687,103057215,1000,RGE
20015424458,103057216,1000,RGE
20030022907,103057217,1000,RGE
20090403989,103057218,1000,RGE
20031472366,103057219,1000,RGE
20032045377,103057220,1000,RGE
20014821878,103057221,1000,RGE
20029889324,103057222,1000,RGE
20032024455,103057223,1000,RGE
20031415977,103057224,1000,RGE
20023750290,103057225,1000,RGE
20029429733,103057226,1000,RGE
20031262023,103057227,1000,RGE
20013948227,103057228,1000,RGE
20019774106,103057229,1000,RGE
20017158344,103057230,1000,RGE
20015424920,103057231,1000,RGE
20021759954,103057232,1000,RGE
20015424813,103057233,1000,RGE
20031925017,103057234,1000,RGE
20015424862,103057235,1000,RGE
20014687691,103057236,1000,RGE
20030681389,103057237,1000,RGE
20032065581,103057238,1000,RGE
20032174599,103057239,1000,RGE
20029564018,103057240,1000,RGE
20090242445,103057241,1000,RGE
20031932146,103057242,1000,RGE
20032420927,103057243,1000,RGE
20032853242,103057244,1000,RGE
20030569931,103057249,1000,RGE
20026459832,103057250,1000,RGE
20090310739,103057251,1000,RGE
20090501469,103057252,1000,RGE
20020267074,103057253,1000,RGE
20031567652,103057254,1000,RGE
20017903970,103057255,1000,RGE
20015424540,103057256,1000,RGE
20021939515,103057257,1000,RGE
20032759092,103057258,1000,RGE
20015424557,103057259,1000,RGE
20090333376,103057260,1000,RGE
20015424672,103057261,1000,RGE
20015424524,103057262,1000,RGE
20015424482,103057263,1000,RGE
20015424722,103057264,1000,RGE
20032141853,103057265,1000,RGE
20029522115,103057266,1000,RGE
20030960361,103057267,1000,RGE
20032766931,103057268,1000,RGE
20027389418,103057269,1000,RGE
20031856113,103057270,1000,RGE
20030378911,103057271,1000,RGE
20029425236,103057272,1000,RGE
20028698478,103057281,1000,RGE
20011827548,103057282,1000,RGE
20011827217,103057283,1000,RGE
20011829015,103057284,1000,RGE
20090359603,103057285,1000,RGE
20029272596,103057286,1000,RGE
20023686346,103057288,1000,RGE
20090036052,103057292,1000,RGE
20032658310,103057293,1000,RGE
20031435629,103057295,1000,RGE
20031986159,103057296,1000,RGE
20020742431,103057297,1000,RGE
20090254390,103057298,1000,RGE
20011554647,103057299,1000,RGE
20032142083,103057300,1000,RGE
20014914905,103057301,1000,RGE
20026510428,103057303,1000,RGE
20017909928,103057305,1000,RGE
20029813282,103057306,1000,RGE
20030337735,103057307,1000,RGE
20090478361,103057308,1000,RGE
20024108282,103057313,1000,RGE
20027319647,103057314,1000,RGE
20030864704,103057315,1000,RGE
20032678128,103057316,1000,RGE
20024078287,103057317,1000,RGE
20028734570,103057320,1000,RGE
20090286921,103057321,1000,RGE
20018849230,103057322,1000,RGE
20031859885,103057323,1000,RGE
20030712291,103057325,1000,RGE
20015424169,103057326,1000,RGE
20012174437,103057327,1000,RGE
20011342423,103057328,1000,RGE
20024426247,103057333,1000,RGE
20032285395,103057334,1000,RGE
20014708885,103057335,1000,RGE
20031707076,103057336,1000,RGE
20014707457,103057337,1000,RGE
20090208248,103057338,1000,RGE
20010414090,103057339,1000,RGE
20013391683,103057340,1000,RGE
20032778746,103057341,1000,RGE
20031171919,103057342,1000,RGE
20025133503,103057343,1000,RGE
20018600302,103057783,1000,RGE
20031355496,103057784,1000,RGE
20015613522,103057785,1000,RGE
20032186833,103058070,1000,RGE
20029963533,103058071,1000,RGE
20031399684,103058072,1000,RGE
20024849901,103058073,1000,RGE
20019580941,103058222,1000,RGE
20010819140,103058223,1000,RGE
20025001320,103058227,1000,RGE
20013144520,103058277,1000,RGE
20012695571,103058324,1000,RGE
20032840371,103058327,1000,RGE
20014794471,103058463,1000,RGE
20025926310,103058672,1000,RGE
20018865012,103058673,1000,RGE
20026285666,103058703,1000,RGE
20032081927,103058704,1000,RGE
20030328213,103058705,1000,RGE
20014132177,103058818,1000,RGE
20029109533,103058819,1000,RGE
20020472054,103058820,1000,RGE
20025284546,103058821,1000,RGE
20032389403,103058910,1000,RGE
20023801796,103058912,1000,RGE
20031060377,103058913,1000,RGE
20032376822,103058938,1000,RGE
20023068602,103058939,1000,RGE
20032350819,103058940,1000,RGE
20013850241,103058941,1000,RGE
20029478680,103059210,1000,RGE
20031692286,103059291,1000,RGE
20025877083,103059292,1000,RGE
20029260377,103059293,1000,RGE
20022414765,103059294,1000,RGE
20090236629,103059299,1000,RGE
20031882788,103059300,1000,RGE
20032805614,103059301,1000,RGE
20032854299,103059302,1000,RGE
20032006825,103059311,1000,RGE
20032527234,103059312,1000,RGE
20022070328,103059313,1000,RGE
20029582309,103059314,1000,RGE
20032712158,103059319,1000,RGE
20024558650,103059320,1000,RGE
20026217784,103059321,1000,RGE
20090251040,103059322,1000,RGE
20028210761,103059323,1000,RGE
20032704700,103059324,1000,RGE
20030541740,103059325,1000,RGE
20032463497,103059326,1000,RGE
20032813097,103059335,1000,RGE
20032836882,103059336,1000,RGE
20021977267,103059337,1000,RGE
20030156564,103059338,1000,RGE
20022175549,103059347,1000,RGE
20023073156,103059348,1000,RGE
20030557696,103059349,1000,RGE
20025367887,103059350,1000,RGE
20031447608,103061029,1000,RGE
20030889131,103061030,1000,RGE
20014646143,103061031,1000,RGE
20025906791,103061493,1000,RGE
20014361685,103061494,1000,RGE
20029103817,103061495,1000,RGE
20029729199,103061496,1000,RGE
20026421642,103061497,1000,RGE
20026461747,103061499,1000,RGE
20030341612,103061500,1000,RGE
20026266666,103061501,1000,RGE
20030338790,103061503,1000,RGE
20030945099,103061504,1000,RGE
20029466909,103061506,1000,RGE
20029448592,103061507,1000,RGE
20028715066,103061508,1000,RGE
20031451956,103061509,1000,RGE
20031738618,103061510,1000,RGE
20014279259,103061511,1000,RGE
20013875156,103061512,1000,RGE
20090378181,103061513,1000,RGE
20032755082,103061514,1000,RGE
20032494831,103061515,1000,RGE
20032590125,103061516,1000,RGE
20028680856,103061517,1000,RGE
20026070951,103061518,1000,RGE
20029711056,103061519,1000,RGE
20031169384,103061520,1000,RGE
20026129989,103061521,1000,RGE
20013900285,103061522,1000,RGE
20028765483,103061523,1000,RGE
20018977619,103061524,1000,RGE
20026778561,103061525,1000,RGE
20027831328,103061526,1000,RGE
20026247955,103061527,1000,RGE
20031980574,103061528,1000,RGE
20027121597,103061533,1000,RGE
20013878028,103061534,1000,RGE
20011021746,103061535,1000,RGE
20026168300,103061536,1000,RGE
20032942557,103061541,1000,RGE
20032661124,103061542,1000,RGE
20029084645,103061543,1000,RGE
20028382321,103061544,1000,RGE
20025694355,103061545,1000,RGE
20021857915,103061546,1000,RGE
20028122149,103061547,1000,RGE
20022044158,103061548,1000,RGE
20025800655,103061549,1000,RGE
20030682015,103061550,1000,RGE
20020942197,103061551,1000,RGE
20090043454,103061552,1000,RGE
20013902596,103061557,1000,RGE
20022672719,103061558,1000,RGE
20013879117,103061559,1000,RGE
20013879018,103061560,1000,RGE
20021044175,103061565,1000,RGE
20028320586,103061566,1000,RGE
20028621553,103061567,1000,RGE
20031268350,103061568,1000,RGE
20032727628,103061575,1000,RGE
20030049090,103061576,1000,RGE
20031138561,103061585,1000,RGE
20017272103,103061586,1000,RGE
20020199731,103061587,1000,RGE
20015410028,103061588,1000,RGE
20028768768,103061593,1000,RGE
20021044159,103061594,1000,RGE
20028675906,103061595,1000,RGE
20029362124,103061596,1000,RGE
20032818898,103061597,1000,RGE
20031884156,103061598,1000,RGE
20013878226,103061599,1000,RGE
20031815739,103061600,1000,RGE
20028941779,103061601,1000,RGE
20028703880,103061602,1000,RGE
20030205650,103061603,1000,RGE
20027011889,103061604,1000,RGE
20031577495,103061622,1000,RGE
20027220241,103061624,1000,RGE
20031881848,103061629,1000,RGE
20031862798,103061630,1000,RGE
20032305433,103061634,1000,RGE
20090126275,103061635,1000,RGE
20090126267,103061640,1000,RGE
20090264332,103061641,1000,RGE
20032776237,103061642,1000,RGE
